date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-08-23,24.9,19,32,0,,111,21.2,,1022.8,
2022-08-24,23.3,11,31,0,,85,16.3,,1025,
2022-08-25,25,15,32,0,,80,13.6,,1022.1,
2022-08-26,23.9,15,32,0,,84,13.7,,1019.2,
2022-08-27,25.3,20,31,0,,99,19.3,,1016.8,
2022-08-28,23.6,19,28,0,,126,18.1,,1013.4,
2022-08-29,19.5,16,23,2.2,,204,11.6,,1012.6,
2022-08-30,21.4,14,29,1.1,,224,13.6,,1013.3,
2022-08-31,19.1,14,25,0,,278,14.6,,1012.7,
2022-09-01,14,9,19,0,,318,11.8,,1013.8,
2022-09-02,11,5,17,0,,314,13,,1019.6,
2022-09-03,10.9,4,16,0.2,,39,7.3,,1024.3,
2022-09-04,12.8,8.9,18,0,,357,7.7,,1021.8,
2022-09-05,10.3,6,15,1.7,,338,9,,1021.2,
2022-09-06,8.7,4,14,0.4,,332,13.7,,1019.9,
2022-09-07,9.6,6,14,0,,270,12.4,,1019.4,
2022-09-08,10,7,15,1.2,,299,11.4,,1018,
2022-09-09,7.7,1,14,0,,35,10.9,,1024.6,
2022-09-10,9.1,-2,17,0,,115,13.3,,1026.1,
2022-09-11,9.4,8,10.1,8.3,,123,21.2,,1018,
2022-09-12,11.6,9,15,1.9,,109,23.4,,1010,
2022-09-13,9.3,9,10,7.9,,84,12.6,,1004.9,
2022-09-14,9.6,8,11,3.1,,225,11.7,,1004.4,
2022-09-15,12.8,10,18,0.9,,212,9.6,,1004.4,
