date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-05-15,9.8,,14.3,3,,,,,,
2020-05-16,11.2,6,16.2,0,,,,,,
2020-05-17,13.3,8.6,18.5,0,,,,,,
2020-05-18,11.3,,17.4,4.1,,,,,,
2020-05-19,10.1,2.7,15.2,0,,,,,,
2020-05-20,11.1,,15.9,16.3,,,,,,
2020-05-21,9,,13.6,0,,,,,,
2020-05-22,6.7,1.4,12.2,4.1,,,,,,
2020-05-23,7.7,4.2,12.5,6.1,,,,,,
2020-05-24,9.8,3.9,15.5,4.1,,,,,,
2020-05-25,13.6,5.9,19.8,0,,,,,,
2020-05-26,11.9,10.4,13.7,5.1,,,,,,
2020-05-27,13.2,9.5,17.9,0.5,,,,,,
2020-05-28,13,9.4,15.1,17,,,,,,
2020-05-29,18,14.2,22.9,4.1,,,,,,
2020-05-30,15,,18.4,9.9,,,,,,
2020-05-31,14.6,11.3,19.1,0,,,,,,
2020-06-01,12.9,10.3,16.9,5.1,,,,,,
2020-06-02,14.2,,18,2,,,,,,
2020-06-03,14.6,7.5,20,0,,,,,,
2020-06-04,13.2,9.2,,1,,,,,,
2020-06-05,14.4,9.7,17.6,3.6,,,,,,
2020-06-06,20.7,14.1,26.8,0.8,,,,,,
2020-06-07,22.4,14.7,28.7,0,,,,,,
2020-06-08,23.4,15.2,29.9,0,,,,,,
2020-06-09,25,17.2,31.9,0,,,,,,
2020-06-10,25.7,18.3,32.6,0,,,,,,
2020-06-11,25.4,18.9,31.5,0,,,,,,
2020-06-12,26.4,19.8,33.8,0,,,,,,
2020-06-13,22.3,18.9,26.4,0,,,,,,
2020-06-14,22.5,16.4,28.2,0,,,,,,
2020-06-15,22.4,17.2,27.8,0,,,,,,
2020-06-16,23.2,16.6,30.1,0,,,,,,
2020-06-17,23.9,14.7,31.5,0,,,,,,
2020-06-18,24.8,15.7,32.3,0,,,,,,
2020-06-19,24.4,,30.6,0,,,,,,
2020-06-20,24.8,16.9,31.3,0,,,,,,
2020-06-21,23.2,,31.6,7.9,,,,,,
2020-06-22,21.2,17.5,26.8,14.5,,,,,,
2020-06-23,19.9,,27.1,4.1,,,,,,
2020-06-24,18.7,13.9,24.7,0,,,,,,
2020-06-25,19.8,14,25,0,,,,,,
2020-06-26,21.7,13,29.4,0,,,,,,
2020-06-27,21.8,13.5,28.2,0,,,,,,
2020-06-28,22.4,16.4,,0,,,,,,
2020-06-29,21.2,17,27,9.9,,,,,,
2020-06-30,22.2,15.1,28,0,,,,,,
2020-07-01,21.1,,25.7,0.3,,,,,,
2020-07-02,22.6,14,29,0,,,,,,
2020-07-03,24.3,15,30.8,0,,,,,,
2020-07-04,26.3,16.9,34.3,0,,,,,,
2020-07-05,26,,32.9,0,,,,,,
2020-07-06,25.3,17.6,32,0,,,,,,
2020-07-07,26.9,19.6,34.3,0,,,,,,
2020-07-08,19.8,,24.8,2,,,,,,
2020-07-09,17.8,13.4,23.9,0,,,,,,
2020-07-10,18.4,9.8,25.5,0,,,,,,
2020-07-11,20.8,10.4,28.5,0,,,,,,
2020-07-12,22.6,12.5,30.3,0,,,,,,
2020-07-13,21.3,14.8,27.3,0,,,,,,
2020-07-14,16.8,,18.3,36.1,,,,,,
2020-07-15,14.3,,17.6,17,,,,,,
2020-07-16,17.1,10.6,23.1,0,,,,,,
2020-07-17,18.3,9.3,26,0,,,,,,
2020-07-18,18.8,11.3,26,0,,,,,,
2020-07-19,18.9,11.2,25.7,0,,,,,,
2020-07-20,20.1,11.1,26.9,0,,,,,,
2020-07-21,20.7,12.3,27.1,0,,,,,,
2020-07-22,18.7,,23.9,0.5,,,,,,
2020-07-23,16.1,8.7,21.9,0,,,,,,
2020-07-24,15.3,10.3,22.6,0,,,,,,
2020-07-25,17.8,8,25.9,0,,,,,,
2020-07-26,21.1,12.8,28.6,0,,,,,,
2020-07-27,22.7,15,30.9,0,,,,,,
2020-07-28,23.1,14.3,31,0,,,,,,
2020-07-29,24.9,14.1,33.7,0,,,,,,
2020-07-30,22.1,,28,1,,,,,,
2020-07-31,19.8,13.7,25.4,0,,,,,,
2020-08-01,16.2,10.7,22.3,0,,,,,,
2020-08-02,17.3,,23.8,0,,,,,,
2020-08-03,17.5,9.9,25.2,0,,,,,,
2020-08-04,19.1,8.4,27.2,0,,,,,,
2020-08-05,21.3,12.5,29.5,0,,,,,,
2020-08-06,22.5,11.7,31.6,0,,,,,,
2020-08-07,23.3,14.7,30.8,0,,,,,,
2020-08-08,20.7,13.2,28.1,0,,,,,,
2020-08-09,20.8,12.7,28.7,0,,,,,,
2020-08-10,21,12.9,28.6,0,,,,,,
2020-08-11,20.2,12.9,28.5,0,,,,,,
2020-08-12,17.8,,22.6,0,,,,,,
2020-08-13,15.5,10.1,20.8,0,,,,,,
2020-08-14,13.8,8,18.7,0,,,,,,
2020-08-15,15,7.5,21.3,0,,,,,,
2020-08-16,16.6,10,23.6,0.5,,,,,,
2020-08-17,20.6,12,28.6,0,,,,,,
2020-08-18,21.6,13.9,30.3,0,,,,,,
2020-08-19,22.7,12.8,31.5,0,,,,,,
2020-08-20,20.9,14.9,27.5,0,,,,,,
2020-08-21,18.6,13.6,23.8,0,,,,,,
2020-08-22,17.6,,24.7,8.9,,,,,,
2020-08-23,18.4,8.7,27.1,0,,,,,,
2020-08-24,20.1,9.5,28.8,0,,,,,,
2020-08-25,22,15.1,30.1,0,,,,,,
2020-08-26,18.7,,24.9,0,,,,,,
2020-08-27,16.7,9.7,25.3,0.3,,,,,,
2020-08-28,16,12.7,22.1,0,,,,,,
2020-08-29,16.6,12.5,23.9,0,,,,,,
2020-08-30,22.3,11.6,31,0,,,,,,
2020-08-31,23.9,13.8,32.3,0,,,,,,
2020-09-01,24.3,13.9,33.5,0,,,,,,
2020-09-02,25.3,16.3,33.8,0,,,,,,
2020-09-03,24.9,16.9,33.3,0,,,,,,
2020-09-04,21.7,,25.8,0,,,,,,
2020-09-05,17.5,13.4,21.7,0.5,,,,,,
2020-09-06,22.3,12.3,29.6,0,,,,,,
2020-09-07,21.4,14.4,29.3,0,,,,,,
2020-09-08,14.5,,20,3,,,,,,
2020-09-09,14.8,9.5,21.2,0,,,,,,
2020-09-10,17.5,6.7,25.9,0,,,,,,
2020-09-11,16.2,,,,,,,,,
2020-09-12,11.8,2.5,21.2,0,,,,,,
2020-09-13,15.2,3,25,0,,,,,,
2020-09-14,17.6,11.3,22,0,,,,,,
2020-09-15,17.3,13.9,22.1,0,,,,,,
