date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-05-15,13.4,11,19.2,2.9,,,,,,
2015-05-16,11.4,8.6,14.8,0.1,,,,,,
2015-05-17,10.2,5.3,16,,,,,,,
2015-05-18,11.5,8.3,16.5,,,,,,,
2015-05-19,11.1,5.2,16,,,,,,,
2015-05-20,14,5.4,21.2,,,,,,,
2015-05-21,17.4,6.6,25.5,,,,,,,
2015-05-22,19.8,9.5,28.1,,,,,,,
2015-05-23,22.1,12,28.7,,,,,,,
2015-05-24,21.7,13,29.1,,,,,,,
2015-05-25,21.4,11.5,30.3,,,,,,,
2015-05-26,23.3,12.5,30.4,,,,,,,
2015-05-27,21.8,16,30,,,,,,,
2015-05-28,23.6,14.8,30.8,0.3,,,,,,
2015-05-29,23.6,17.1,30.7,6.7,,,,,,
2015-05-30,19.7,17.2,27.2,,,,,,,
2015-05-31,18.2,15,23,0.6,,,,,,
2015-06-01,16.7,13.1,21.6,0.3,,,,,,
2015-06-02,14.9,12.5,17.5,2.4,,,,,,
2015-06-03,20.6,14.4,27.1,,,,,,,
2015-06-04,23.6,16,30,,,,,,,
2015-06-05,17.9,15.4,29.8,0.9,,,,,,
2015-06-06,16.1,9.4,22.5,,,,,,,
2015-06-07,19.9,9,26.5,,,,,,,
2015-06-08,24.7,17.4,30.5,,,,,,,
2015-06-09,22.6,17.6,29.7,,,,,,,
2015-06-10,18.9,15.1,26.3,,,,,,,
2015-06-11,18.6,12,24.7,,,,,,,
2015-06-12,19,14.8,25.5,,,,,,,
2015-06-13,21.2,10.1,27.9,,,,,,,
2015-06-14,24.7,13,31.2,,,,,,,
2015-06-15,26.7,16.1,33.5,,,,,,,
2015-06-16,25.2,20.6,32.6,0.1,,,,,,
2015-06-17,18.6,15.9,26.3,12,,,,,,
2015-06-18,14.6,12.1,17.2,6.2,,,,,,
2015-06-19,19,14.6,25.4,,,,,,,
2015-06-20,21.3,16.8,25.4,1.2,,,,,,
2015-06-21,21.7,16.5,27.3,,,,,,,
2015-06-22,21.8,16,27.5,2.3,,,,,,
2015-06-23,23.2,16,29.4,1.8,,,,,,
2015-06-24,20.6,18,27.7,12.5,,,,,,
2015-06-25,22.8,18,28.6,4.7,,,,,,
2015-06-26,23.4,18.5,28,25.9,,,,,,
2015-06-27,24.5,20.6,29,0.9,,,,,,
2015-06-28,22.7,19,28.5,,,,,,,
2015-06-29,18.3,17.5,25.3,1,,,,,,
2015-06-30,17.1,15.1,20.5,,,,,,,
2015-07-01,19.3,13.4,25,,,,,,,
2015-07-02,21.2,15.4,27.5,,,,,,,
2015-07-03,19.4,15.2,25.8,,,,,,,
2015-07-04,22.2,11.3,30,,,,,,,
2015-07-05,25.7,19.8,32,,,,,,,
2015-07-06,22.6,20.4,31,,,,,,,
2015-07-07,20.4,12.6,26.2,,,,,,,
2015-07-08,22.6,14.5,29.5,0.6,,,,,,
2015-07-09,25.1,15.6,32.5,,,,,,,
2015-07-10,24.1,18.1,31.6,1.9,,,,,,
2015-07-11,17.3,16,25.8,,,,,,,
2015-07-12,16,11.8,20,3.5,,,,,,
2015-07-13,17.6,12.5,23.5,,,,,,,
2015-07-14,15.9,10.2,19.2,2.9,,,,,,
2015-07-15,17.1,14.2,22.5,9.9,,,,,,
2015-07-16,16.8,14.4,21,2.6,,,,,,
2015-07-17,18.2,13,24.5,,,,,,,
2015-07-18,15.4,14,21.6,10,,,,,,
2015-07-19,19.6,12.8,25,,,,,,,
2015-07-20,21.8,16.5,29.5,4.9,,,,,,
2015-07-21,17.7,16.9,21.5,2.7,,,,,,
2015-07-22,19.7,11.8,24.8,,,,,,,
2015-07-23,20.8,16.3,27,0.6,,,,,,
2015-07-24,22.9,13,30.5,,,,,,,
2015-07-25,24.9,19.7,30.2,,,,,,,
2015-07-26,27.3,18.5,33.1,,,,,,,
2015-07-27,28.1,19.8,36,,,,,,,
2015-07-28,24.7,20.5,33.5,3.9,,,,,,
2015-07-29,23.1,19,28.2,2.9,,,,,,
2015-07-30,23.1,18,28.4,,,,,,,
2015-07-31,22.3,19.4,28.4,3.9,,,,,,
2015-08-01,17.3,14.7,23.6,29.3,,,,,,
2015-08-02,19.3,12.8,26,,,,,,,
