date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-05-15,16.7,12.1,23.4,0,,,,,,
2019-05-16,15.9,9.7,21.9,0,,,,,,
2019-05-17,17.1,11,22.8,0,,,,,,
2019-05-18,15.6,9.3,22.7,0,,,,,,
2019-05-19,16.6,6.3,24.8,0,,,,,,
2019-05-20,17.1,9.2,24,0,,,,,,
2019-05-21,18.3,8.4,24.4,0,,,,,,
2019-05-22,18.6,,25,17,,,,,,
2019-05-23,16.7,10.3,24.3,1,,,,,,
2019-05-24,18,12.8,24.5,2.5,,,,,,
2019-05-25,17.3,,24.3,1.3,,,,,,
2019-05-26,16.7,11.7,,0,,,,,,
2019-05-27,17.4,10.9,23.6,0,,,,,,
2019-05-28,20.9,11.5,28.5,0,,,,,,
2019-05-29,22.4,15.4,,0,,,,,,
2019-05-30,23.1,15.7,29.5,0,,,,,,
2019-05-31,24.2,18.3,31.1,0,,,,,,
2019-06-01,20.6,16.5,25.9,8.9,,,,,,
2019-06-02,19.4,15.8,25.3,3,,,,,,
2019-06-03,21.1,13.6,27.7,0,,,,,,
2019-06-04,20.6,,26.2,0,,,,,,
2019-06-05,19.6,12.4,26.3,0,,,,,,
2019-06-06,20.6,12.5,27.8,0,,,,,,
2019-06-07,21.7,14.3,28.5,0,,,,,,
2019-06-08,22.6,15.4,29.5,0,,,,,,
2019-06-09,22.4,14.8,31.3,0,,,,,,
2019-06-10,23.6,15.3,32,0,,,,,,
2019-06-11,23.8,16.2,30.6,0,,,,,,
2019-06-12,25.1,15.9,32.6,0,,,,,,
2019-06-13,22.7,17.1,27.8,0,,,,,,
2019-06-14,20.9,11.9,28.8,0,,,,,,
2019-06-15,22.3,14.1,31.7,4.1,,,,,,
2019-06-16,19.6,,24.9,0,,,,,,
2019-06-17,20.8,12.3,27.9,0,,,,,,
2019-06-18,22.3,13.3,30.1,1,,,,,,
2019-06-19,22.7,15.3,,0,,,,,,
2019-06-20,23,14,30.2,0,,,,,,
2019-06-21,24.3,15,31.9,0,,,,,,
2019-06-22,26.5,18.4,34.3,0,,,,,,
2019-06-23,26.3,17.3,33.6,0,,,,,,
2019-06-24,24.6,18.7,30,5.1,,,,,,
2019-06-25,21.1,,27.3,0,,,,,,
2019-06-26,20.4,10.9,27.6,0,,,,,,
2019-06-27,21.1,14.3,28.8,5.1,,,,,,
2019-06-28,16.8,,19.7,0.8,,,,,,
2019-06-29,14.7,,19.1,0,,,,,,
2019-06-30,15.8,9.8,22.3,0,,,,,,
2019-07-01,22.5,11.9,30.4,0,,,,,,
2019-07-02,22.4,,28.2,0,,,,,,
2019-07-03,19.8,11.8,26.1,0,,,,,,
2019-07-04,16.2,9,21.3,0,,,,,,
2019-07-05,17.2,10,23,0,,,,,,
2019-07-06,16.5,,22,2,,,,,,
2019-07-07,18.6,11,25.1,7.9,,,,,,
2019-07-08,16.9,15.5,18.7,8.9,,,,,,
2019-07-09,14.7,,19.4,6.1,,,,,,
2019-07-10,13.9,9.7,19,7.1,,,,,,
2019-07-11,15.6,9.2,,0,,,,,,
2019-07-12,16.5,9.4,23.8,2,,,,,,
2019-07-13,16.4,8.9,21.9,0,,,,,,
2019-07-14,18.1,12.1,24.5,0,,,,,,
2019-07-15,19.3,9.5,26.1,0,,,,,,
2019-07-16,17.9,,26.5,4.1,,,,,,
2019-07-17,18.2,12.4,22.1,0,,,,,,
2019-07-18,17.3,11.3,23.2,0,,,,,,
2019-07-19,18.4,10.4,,0,,,,,,
2019-07-20,20,11.8,27.2,0,,,,,,
2019-07-21,20.7,11.7,29.3,0,,,,,,
2019-07-22,22.6,11.5,30.7,0,,,,,,
2019-07-23,20.5,,27,2.3,,,,,,
2019-07-24,18.2,,26,4.1,,,,,,
2019-07-25,19.1,13.2,26.2,0,,,,,,
2019-07-26,18.1,14.1,21.9,1,,,,,,
2019-07-27,20.8,,28.9,2,,,,,,
2019-07-28,23.3,14.2,30.4,0,,,,,,
2019-07-29,22.6,16.9,29.8,0,,,,,,
2019-07-30,21.2,,28,0,,,,,,
2019-07-31,16.2,13.1,20.2,7.9,,,,,,
2019-08-01,14.2,11.8,16.7,0,,,,,,
2019-08-02,13.8,12.2,16.3,2,,,,,,
2019-08-03,16.4,11.9,21.9,0,,,,,,
2019-08-04,15.2,10.2,19.7,0,,,,,,
2019-08-05,12.1,7.6,18.7,0.5,,,,,,
2019-08-06,14.9,8.5,22,0,,,,,,
2019-08-07,18.9,6.5,27.5,0,,,,,,
2019-08-08,24,17.8,31,0,,,,,,
2019-08-09,20.5,15.5,27,0,,,,,,
2019-08-10,17.9,12.8,23.7,1,,,,,,
2019-08-11,18.1,9.6,25.5,0.5,,,,,,
2019-08-12,19.9,11.4,28.3,0,,,,,,
2019-08-13,23.6,11.6,31.9,0,,,,,,
2019-08-14,26.8,19.8,34.2,0,,,,,,
2019-08-15,25.1,18.3,32.6,0,,,,,,
2019-08-16,25.2,18,31.8,0,,,,,,
2019-08-17,19,,22,34,,,,,,
2019-08-18,16.5,,,0,,,,,,
2019-08-19,19.4,13.2,26.3,0,,,,,,
2019-08-20,20,12.4,29.5,0,,,,,,
2019-08-21,21.9,12.6,29.9,0,,,,,,
2019-08-22,22.7,14.2,30.2,0,,,,,,
2019-08-23,21.2,16.2,28,0,,,,,,
2019-08-24,20.9,,28.5,0,,,,,,
2019-08-25,19.9,11.1,27.9,0,,,,,,
2019-08-26,17.9,,24.8,0,,,,,,
2019-08-27,17.7,7.1,26.6,0,,,,,,
2019-08-28,17.5,10.8,24.7,0,,,,,,
2019-08-29,14.6,6.1,22.8,0,,,,,,
2019-08-30,16.6,5.5,25.7,0,,,,,,
2019-08-31,17.1,13.5,22.3,0,,,,,,
2019-09-01,19.8,12.2,28.3,0,,,,,,
2019-09-02,20.8,11.4,30.2,0,,,,,,
2019-09-03,22,12.1,31.3,0,,,,,,
2019-09-04,20.6,13.7,,0,,,,,,
2019-09-05,20.3,14.1,,0,,,,,,
2019-09-06,19.4,12.7,28.2,0,,,,,,
2019-09-07,19.8,12.9,,0,,,,,,
2019-09-08,19.2,11.2,28.9,0,,,,,,
2019-09-09,20.5,11.7,28.9,0,,,,,,
2019-09-10,19.1,11.6,27.1,0,,,,,,
2019-09-11,18.2,10,27.2,0,,,,,,
2019-09-12,19.1,11,27.4,0,,,,,,
2019-09-13,19.8,13.4,28.2,0,,,,,,
2019-09-14,15.2,,19.3,0,,,,,,
2019-09-15,12,4.3,18.9,0,,,,,,
