date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-05-15,18,11,23,1.5,,179,16.5,,1010.2,
2021-05-16,19.3,10,26,0,,137,11.5,,1011.8,
2021-05-17,22.9,13,30,0,,124,23.5,,1005.7,
2021-05-18,18.5,15,26,6.2,,149,15.5,,1003.9,
2021-05-19,14.8,11,18,4,,149,16.2,,1003.7,
2021-05-20,13.3,11,18,7.9,,180,17.3,,1003.4,
2021-05-21,12.5,8,16,0.4,,304,11.2,,1009.8,
2021-05-22,15,8,21,0,,22,7.9,,1015.7,
2021-05-23,15.8,9,21,0,,210,13.4,,1014.4,
2021-05-24,15.1,7,20,0.4,,45,7.9,,1018.9,
2021-05-25,17.6,12,23,0,,9,9.1,,1021.7,
2021-05-26,19.3,11,25,0,,160,11,,1019.8,
2021-05-27,19.9,15,25,0.2,,157,11.2,,1017.2,
2021-05-28,20.8,13,28,0,,152,9.4,,1013,
2021-05-29,19.8,14,25,3.8,,249,12.4,,1007.5,
2021-05-30,12.5,9,16,8,,26,13.6,,1009.8,
2021-05-31,8.2,7,9,0.4,,29,12.3,,1016,
2021-06-01,9.1,4,13,0,,42,16.8,,1017,
2021-06-02,14.7,9,20,0.3,,45,23.9,,1016.4,
2021-06-03,15.2,11,19,0,,42,23.9,,1017.8,
2021-06-04,14.8,8,20,0,,17,14.7,,1018.4,
2021-06-05,13.9,8,18,0.9,,7,10.1,,1014.1,
2021-06-06,15.3,12,20,3,,0,9.2,,1009.8,
2021-06-07,14.8,11,20,5.5,,315,5.9,,1009.3,
2021-06-08,16.7,12,22,5.3,,38,6.7,,1009.5,
2021-06-09,17.4,11,25,8.8,,17,7,,1008.7,
2021-06-10,16.2,13,23,4.9,,20,6.8,,1008.3,
2021-06-11,16.7,11,22,3.4,,46,7.9,,1009.5,
2021-06-12,17.3,14,22,10.8,,351,6.9,,1009.2,
2021-06-13,19.1,13,25,3.2,,172,11.6,,1008.3,
2021-06-14,19.8,13,26,1.3,,100,7.8,,1013.6,
2021-06-15,21.7,14,27,1.4,,19,8.8,,1013,
2021-06-16,19.8,16,26,1.6,,1,9.8,,1012.4,
2021-06-17,20.4,16,25,0,,45,18.1,,1019.3,
2021-06-18,20.5,14,25,0,,72,18.5,,1023.6,
2021-06-19,22.2,15,27,0,,105,17.3,,1023.9,
2021-06-20,22.3,14,27,0,,102,15.2,,1021.1,
2021-06-21,25.4,21,31,0,,110,16.7,,1018.1,
2021-06-22,26.3,17,32,0,,108,16.5,,1018.4,
2021-06-23,27.9,19,34,0.1,,87,15.8,,1018.5,
2021-06-24,27.8,20,35,0.5,,74,9,,1018.7,
2021-06-25,27.4,20,33,0,,51,8.2,,1016.1,
2021-06-26,25.9,19,33,0.2,,51,12.4,,1012.6,
2021-06-27,25.6,20,33,0.2,,75,12.6,,1008.1,
2021-06-28,21.6,19,26,9.3,,249,13.9,,1007.6,
2021-06-29,19.9,17,25,1.7,,268,11.5,,1010.5,
2021-06-30,21,16,26,1.9,,264,13.3,,1010.4,
2021-07-01,22.8,16,28,0.1,,280,12.7,,1010.3,
2021-07-02,20.5,16,27,2.2,,98,8,,1008.5,
2021-07-03,23,18,28,14.7,,134,9.9,,1007.8,
2021-07-04,22,17,26,8.6,,54,14,,1008.3,
2021-07-05,21.8,17,26,0.2,,59,20.5,,1009.9,
2021-07-06,21.5,17,25,0,,75,16.4,,1013.4,
2021-07-07,21.5,12,27,0,,59,13.7,,1020,
2021-07-08,21.7,12,28,0,,30,9.2,,1025.1,
2021-07-09,23,14,30,0,,0,7.9,,1023.6,
2021-07-10,24,16,31,0,,11,7.2,,1019.1,
2021-07-11,24.3,18,32,0.3,,11,10.9,,1016.5,
2021-07-12,25.5,18,31,0,,62,12.3,,1017.1,
2021-07-13,24.4,16,30,0,,98,10.2,,1018.1,
2021-07-14,24.8,15,32,0,,65,5.1,,1017.5,
2021-07-15,24,17,31,5.2,,267,7.4,,1014.5,
2021-07-16,22.8,20,28,7.6,,31,8.3,,1011.6,
2021-07-17,24.4,18,31,0,,347,7.6,,1011.3,
2021-07-18,25.7,19,32,0,,356,7.5,,1009.5,
2021-07-19,24.8,19,32,2.9,,348,10,,1008.9,
2021-07-20,23.8,17,29,3,,335,9.1,,1008.7,
2021-07-21,18.6,17,21,14.2,,27,10.5,,1007,
2021-07-22,18.4,13,24,0.8,,4,13.3,,1009.6,
2021-07-23,18.1,10,24,0,,328,11.5,,1011.3,
2021-07-24,19.6,14,26,0.2,,317,11.6,,1013.6,
2021-07-25,19.7,11,27,0,,91,6.6,,1020,
2021-07-26,22.4,15,29,0,,136,6,,1022.3,
2021-07-27,23,14,30,0,,188,8.1,,1020.8,
2021-07-28,20.9,16,27,0.7,,150,10.8,,1015.4,
2021-07-29,23.8,16,30,0.3,,198,9.1,,1009.7,
2021-07-30,23,19,27,1.2,,270,15.5,,1007.1,
2021-07-31,23.6,17,30,0,,252,9.4,,1009.8,
2021-08-01,24.5,16,31,0,,177,10.8,,1011.9,
2021-08-02,24.5,18,33,1.8,,177,18.1,,1009.3,
2021-08-03,21.2,18,25,0.1,,291,12.2,,1011.7,
2021-08-04,20,14,26,0.1,,307,8.9,,1016.5,
2021-08-05,18.9,13,24,0.1,,140,10.3,,1015.6,
2021-08-06,24.7,16,32,0,,152,16.9,,1008.5,
2021-08-07,22.8,19,26,0.3,,161,13.2,,1008.4,
2021-08-08,21.6,18,27,0,,14,10.6,,1012.8,
2021-08-09,25.3,16,33,0,,46,12.3,,1014.4,
2021-08-10,22.4,18,29,0,,39,10,,1013.8,
2021-08-11,22,19,28,0.6,,26,9.9,,1011,
2021-08-12,21.9,17,28,0.1,,317,14.5,,1011.2,
2021-08-13,19,14,24,0,,344,12.9,,1018.8,
2021-08-14,19.2,12,26,0,,5,8.9,,1021.2,
2021-08-15,21,13,28,0,,327,5.8,,1017.3,
2021-08-16,22.5,13,30,0,,276,5.8,,1015.5,
2021-08-17,24.4,15,33,0,,166,10,,1014.2,
2021-08-18,23.8,18,30,2.7,,142,12.9,,1011.7,
2021-08-19,23.1,17,29,3.3,,8,11.6,,1009,
2021-08-20,22.4,17,28,0.1,,17,18.4,,1008.8,
2021-08-21,21.8,17,28,8.8,,359,11.3,,1010.3,
2021-08-22,18.6,14,25,0.2,,316,10.9,,1016,
2021-08-23,17.7,10,24,0,,348,6.7,,1019.7,
2021-08-24,17.1,9,25,0,,125,7.7,,1019.3,
2021-08-25,18.6,13,26,10.1,,144,10.2,,1014.6,
2021-08-26,20.6,15,28,12.5,,136,13,,1012.3,
2021-08-27,18.2,16,21,15,,114,16.1,,1013.2,
2021-08-28,19.5,12,26,0.8,,155,10.5,,1015,
2021-08-29,21.5,14,30,0,,116,9.4,,1015.1,
2021-08-30,23.1,16,31,0,,137,22,,1013.6,
2021-08-31,20.7,18,24,6.9,,125,15.6,,1009.8,
2021-09-01,18.8,15,22,0.4,,272,18.2,,1006.7,
2021-09-02,12.8,10,15,11.7,,331,11.8,,1004.8,
2021-09-03,12.1,7,16,0.1,,298,23.2,,1008.1,
2021-09-04,10.9,8,15,1.2,,316,17.5,,1010.5,
2021-09-05,9,4,15,0.3,,317,12.3,,1018.9,
2021-09-06,8.4,3,13,0,,331,9.1,,1024.9,
2021-09-07,9.9,1,17,0,,276,9.4,,1028.2,
2021-09-08,12,4,19,0,,225,11.8,,1025.3,
2021-09-09,16.2,9,24,0.1,,263,13.1,,1021.1,
2021-09-10,16.8,8,25,0,,306,8.5,,1018.6,
2021-09-11,16.7,9,25,0,,41,6.8,,1018.3,
2021-09-12,18.2,12,25,0,,132,6.2,,1015.7,
2021-09-13,18.6,11,26,0,,214,9.6,,1012,
2021-09-14,16.8,11,22,0.4,,295,15.6,,1012,
2021-09-15,11.8,6,17,0,,311,14.7,,1015.8,
