date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-05-15,15.6,6,21,0,,60,9.3,,1020.4,
2023-05-16,15.9,8,21,0,,117,11.1,,1020.7,
2023-05-17,16.5,8,23,0,,135,12,,1021.7,
2023-05-18,17.9,8,25,0,,39,7.2,,1020.7,
2023-05-19,18.3,9,26,0,,17,9.5,,1021,
2023-05-20,15,10,20,0,,26,16.9,,1023.3,
2023-05-21,14.3,8,20,0,,35,12.8,,1021.3,
2023-05-22,17.5,12,24,6.7,,44,14.1,,1017.8,
2023-05-23,15.4,11,20,7.6,,37,8.4,,1015,
2023-05-24,16.7,9,24,0,,64,6.3,,1014.8,
2023-05-25,17.8,15,22,6.4,,327,7.6,,1014.9,
2023-05-26,19,14,24,0,,13,7.8,,1014.9,
2023-05-27,18.8,11,26,0.5,,11,9.3,,1013.5,
2023-05-28,15.3,11,19,0,,12,15.3,,1016.5,
2023-05-29,15.3,6,22,0,,72,10.5,,1019.3,
2023-05-30,15.5,7,21,0,,56,10.2,,1015.3,
2023-05-31,15.3,9,20,0,,356,12.5,,1014.1,
2023-06-01,15.7,6,23,0,,224,8.9,,1014.8,
2023-06-02,19.7,10,27,0,,193,14.7,,1011,
2023-06-03,13.5,6,19,1.6,,286,15.9,,1013.1,
2023-06-04,10.5,3,16,0,,354,9.1,,1022.7,
2023-06-05,12.3,5,18,0,,357,8.2,,1022.6,
2023-06-06,16,7,23,0,,268,8.4,,1021.7,
2023-06-07,17.8,8,25,0,,39,8.1,,1020.7,
2023-06-08,18.9,10,25,0.7,,259,11.2,,1019.9,
2023-06-09,20,14,26,1.9,,236,7.6,,1017.9,
2023-06-10,16.4,13,20,14,,39,15.9,,1017,
2023-06-11,12.9,10,14,3.7,,51,27.3,,1018.7,
2023-06-12,13.5,12,15,0,,63,24.5,,1018.6,
2023-06-13,15.8,12,22,0,,82,17.9,,1016.4,
2023-06-14,16.9,12,22,0,,46,15.7,,1014.5,
2023-06-15,17.9,15,20,4.8,,21,10.6,,1013.7,
2023-06-16,20.3,15,26,0,,35,12.8,,1012.2,
2023-06-17,21.6,12,28,0,,30,13.2,,1011,
2023-06-18,21.5,14,27,0,,59,12.3,,1014.3,
2023-06-19,18,13,25,0,,18,7.3,,1016.3,
2023-06-20,19.2,11,26,0,,357,7.6,,1014.2,
2023-06-21,18,12,23,0,,38,10.6,,1016.3,
2023-06-22,19.5,10,27,0.6,,207,12.3,,1018.7,
2023-06-23,20.9,17,26,2.9,,240,11,,1013.4,
2023-06-24,21.4,15,26,0,,335,11.1,,1012.1,
2023-06-25,18.7,14,23,0,,77,13.3,,1013.5,
2023-06-26,14.3,13,16,10,,106,18,,1010.3,
2023-06-27,14.4,13,17,5.1,,49,8.3,,1004.3,
2023-06-28,15.2,13,18,3.6,,206,10.7,,1006.3,
2023-06-29,16.5,14,21,3.5,,203,19.2,,1003.3,
