date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-05-15,12.4,6.2,19,,,,,,,
2017-05-16,14.7,4.7,20.5,,,,,,,
2017-05-17,7.7,5.9,19.2,7.9,,,,,,
2017-05-18,8.3,2.6,12.8,1.3,,,,,,
2017-05-19,9.6,4,15.3,1.1,,,,,,
2017-05-20,13.9,8,19.9,2.5,,,,,,
2017-05-21,15.9,12.9,22.4,2.7,,,,,,
2017-05-22,11.3,9.4,15.4,0.4,,,,,,
2017-05-23,14.6,4.8,20.8,,,,,,,
2017-05-24,19.4,14.1,25.2,,,,,,,
2017-05-25,19.6,11.4,26,,,,,,,
2017-05-26,20.1,15.4,25.2,,,,,,,
2017-05-27,15.7,13.6,23.3,,,,,,,
2017-05-28,12.8,6.9,19.5,,,,,,,
2017-05-29,16.7,3.9,24.2,,,,,,,
2017-05-30,19.3,17.2,24.8,3.3,,,,,,
2017-05-31,20.6,13.2,26.7,,,,,,,
2017-06-01,18.6,18.4,26.1,,,,,,,
2017-06-02,12.2,10.1,18.4,,,,,,,
2017-06-03,8.3,3.4,15.8,2,,,,,,
2017-06-04,11.2,3.5,17.3,,,,,,,
2017-06-05,18.6,9,24.6,,,,,,,
2017-06-06,19.7,16,24.6,0.1,,,,,,
2017-06-07,16.8,11.8,23.3,,,,,,,
2017-06-08,18.1,9.4,24.3,,,,,,,
2017-06-09,14.8,13.3,21.8,12.6,,,,,,
2017-06-10,11.8,11,14,22.1,,,,,,
2017-06-11,13.6,11,18.8,0.1,,,,,,
2017-06-12,17.6,10.4,23.8,,,,,,,
2017-06-13,17.5,13.8,23,1.4,,,,,,
2017-06-14,15.3,11.5,21.4,,,,,,,
2017-06-15,13.6,12,17,0.5,,,,,,
2017-06-16,14.7,10.4,18.8,,,,,,,
2017-06-17,17.1,11.3,22.1,,,,,,,
2017-06-18,18,10.8,24,,,,,,,
2017-06-19,20.4,12.5,25.6,,,,,,,
2017-06-20,20.1,13.4,26.1,,,,,,,
2017-06-21,19.1,15.2,25.3,1.6,,,,,,
2017-06-22,16.2,9.4,23.1,,,,,,,
2017-06-23,16.1,9.4,21.5,,,,,,,
2017-06-24,15.8,12.4,20.5,15,,,,,,
2017-06-25,18.4,12.8,21.5,,,,,,,
2017-06-26,22.9,16,27.8,,,,,,,
2017-06-27,21.7,18.5,27.4,1.7,,,,,,
